file,Mic_landmark_11_x,Mic_landmark_11_y,Mic_landmark_11_z,Mic_landmark_12_x,Mic_landmark_12_y,Mic_landmark_12_z,Mic_landmark_13_x,Mic_landmark_13_y,Mic_landmark_13_z
Mic_3,-1554.204224,-4484.768066,1651.652466,-1550.778931,-4546.723145,1650.5354,-1546.130981,-4623.494629,1647.643433
Mic_5,-3640.959473,-3609.443848,1616.966309,-3704.106445,-3612.121582,1621.441528,-3779.770752,-3614.638184,1624.421387
Mic_6,-3638.513916,-2379.369385,1620.491577,-3700.603516,-2378.95874,1617.026978,-3777.649902,-2379.629395,1610.950439
Mic_7,-3634.196533,-1142.755371,1578.67334,-3696.167725,-1143.293457,1577.674805,-3773.359375,-1142.698486,1574.231812
Mic_8,-3627.711182,916.019287,1552.150879,-3690.292725,916.810425,1550.774048,-3767.603516,917.388428,1547.876831
Mic_9,-2773.936768,1775.970703,1537.10791,-2784.621094,1841.137451,1532.371826,-2782.574951,1918.886475,1529.792725
Mic_10,-1530.306519,1785.784424,1531.615112,-1529.430664,1848.207764,1529.296997,-1528.75708,1925.644409,1527.4198
Mic_11,-214.072571,1785.844849,1537.670044,-216.281158,1847.830322,1532.916504,-217.523407,1924.588257,1528.265747
Mic_12,1020.256897,1778.657959,1527.49231,1020.526428,1841.375366,1525.913208,1019.983887,1917.77478,1525.915894
Mic_13,2013.638306,918.988464,1545.108032,1939.877441,941.221313,1546.642822,1870.170898,902.514099,1555.926025
Mic_14,1876.602417,-1146.284058,1581.591309,1938.610596,-1147.415894,1578.63147,2015.559204,-1150.846924,1576.770142
Mic_15,1868.753418,-2367.166748,1620.657959,1932.23645,-2373.628418,1616.200806,2008.547729,-2379.468994,1613.15918
Mic_16,1866.244629,-3635.917236,1609.239014,1928.056641,-3634.5896,1610.84314,2005.27124,-3635.084473,1613.828491
