Trajectories
100
,,Landmark:landmark_11,,,Landmark:landmark_12,,,Landmark:landmark_13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-87.581200,1783.561768,1466.129517,-89.640305,1845.776123,1467.714966,-91.964928,1922.051880,1469.036987
2,0,-87.601830,1783.565063,1466.149780,-89.629868,1845.782471,1467.734619,-91.969566,1922.053223,1469.037231
3,0,-87.581200,1783.561768,1466.129517,-89.726341,1845.799683,1467.653198,-91.952835,1922.050049,1469.016357
4,0,-87.581230,1783.561768,1466.129517,-89.672394,1845.781860,1467.688232,-91.954865,1922.050415,1469.015259
5,0,-87.605316,1783.566284,1466.149048,-89.715027,1845.791260,1467.653442,-91.963455,1922.051025,1469.038574
6,0,-87.588356,1783.564453,1466.127930,-89.679054,1845.786377,1467.684326,-91.954872,1922.048218,1469.038574
7,0,-87.611412,1783.568848,1466.147705,-89.602493,1845.772705,1467.740967,-91.942200,1922.044434,1469.042358
8,0,-87.614212,1783.569946,1466.146973,-89.768745,1845.813110,1467.655640,-91.941505,1922.044067,1469.043823
9,0,-87.616821,1783.570923,1466.146362,-89.639923,1845.783691,1467.723511,-91.941216,1922.043579,1469.043213
10,0,-87.620132,1783.572266,1466.145386,-89.591270,1845.773560,1467.741333,-91.942856,1922.043701,1469.043091
11,0,-87.603149,1783.569092,1466.124390,-89.628937,1845.783081,1467.729126,-91.952316,1922.045898,1469.040649
12,0,-87.606300,1783.569092,1466.123779,-89.726753,1845.805054,1467.664917,-91.961716,1922.048340,1469.038452
13,0,-87.607910,1783.570679,1466.123169,-89.681908,1845.798706,1467.713501,-91.962341,1922.048462,1469.040405
14,0,-87.609299,1783.572144,1466.122803,-89.696404,1845.802734,1467.709351,-91.956047,1922.046509,1469.042358
15,0,-87.609299,1783.572144,1466.122803,-89.756554,1845.820312,1467.704346,-91.958572,1922.047363,1469.041138
16,0,-87.627571,1783.575562,1466.143555,-89.744835,1845.816650,1467.700806,-91.958725,1922.047241,1469.041260
17,0,-87.628845,1783.576172,1466.143311,-89.727707,1845.814819,1467.726929,-91.954765,1922.046021,1469.040771
18,0,-87.610069,1783.571411,1466.122803,-89.775658,1845.816040,1467.666626,-91.971298,1922.050537,1469.034302
19,0,-87.219467,1783.486572,1466.214966,-89.458382,1845.735718,1467.744263,-91.927017,1922.036255,1468.991699
20,0,-87.451897,1783.535889,1466.158447,-89.704903,1845.804443,1467.658081,-91.983749,1922.053223,1469.030640
21,0,-87.219467,1783.486572,1466.214966,-89.465118,1845.743530,1467.714478,-91.919151,1922.035278,1468.969727
22,0,-87.219467,1783.486572,1466.214966,-89.488922,1845.748779,1467.701294,-91.929573,1922.037476,1468.995361
23,0,-87.475937,1783.540527,1466.178589,-89.597282,1845.781738,1467.730835,-91.981796,1922.053589,1469.034668
24,0,-87.474480,1783.540894,1466.178955,-89.653320,1845.793213,1467.726562,-91.982063,1922.053345,1469.031860
25,0,-87.474937,1783.542114,1466.178955,-89.668022,1845.790649,1467.709839,-91.981903,1922.053345,1469.030396
26,0,-87.474762,1783.542480,1466.179077,-89.659454,1845.794800,1467.689453,-91.980156,1922.052490,1469.029663
27,0,-87.489449,1783.545044,1466.175415,-89.588837,1845.774658,1467.733765,-91.978874,1922.051270,1469.027832
28,0,-87.483574,1783.544800,1466.151245,-89.597397,1845.781372,1467.726685,-91.952606,1922.045898,1469.010864
29,0,-87.498428,1783.547607,1466.147705,-89.655037,1845.794067,1467.694214,-91.965317,1922.048706,1469.035034
30,0,-87.515457,1783.551636,1466.143677,-89.620804,1845.785889,1467.708496,-91.956573,1922.046509,1469.039795
31,0,-87.552589,1783.559448,1466.160645,-89.689034,1845.801758,1467.704102,-91.955940,1922.046265,1469.040649
32,0,-87.568306,1783.562500,1466.157104,-89.656082,1845.796631,1467.737305,-91.954079,1922.045654,1469.041138
33,0,-87.582497,1783.565308,1466.153687,-89.669571,1845.800293,1467.734619,-91.962395,1922.048584,1469.036865
34,0,-87.624924,1783.573608,1466.135864,-89.715370,1845.811035,1467.716309,-91.962601,1922.047852,1469.036011
35,0,-87.640396,1783.577637,1466.132446,-89.716202,1845.803589,1467.664062,-91.946198,1922.045044,1469.014404
36,0,-87.618721,1783.598267,1466.111572,-89.732117,1845.807007,1467.656616,-91.934883,1922.041260,1469.018433
37,0,-87.635521,1783.574463,1466.108887,-89.654121,1845.797119,1467.713501,-91.950310,1922.044922,1469.043701
38,0,-87.629868,1783.574951,1466.143311,-89.655777,1845.797363,1467.713379,-91.956917,1922.047607,1469.042603
39,0,-87.627831,1783.575195,1466.143555,-89.794670,1845.826782,1467.660400,-91.958801,1922.047363,1469.041748
40,0,-87.247276,1783.493286,1466.236084,-89.575699,1845.769043,1467.692505,-91.914223,1922.033081,1468.997681
41,0,-87.247269,1783.493042,1466.235840,-89.490768,1845.749146,1467.734985,-91.909958,1922.031860,1468.996704
42,0,-87.247276,1783.493286,1466.236084,-89.499954,1845.751221,1467.695312,-91.903328,1922.030029,1468.997803
43,0,-87.451378,1783.536499,1466.158569,-89.593384,1845.778931,1467.714966,-91.942665,1922.042847,1469.044189
44,0,-87.452888,1783.536255,1466.158203,-89.551025,1845.770142,1467.743530,-91.932343,1922.039185,1469.047363
45,0,-87.452354,1783.536987,1466.158447,-89.641846,1845.788940,1467.681274,-91.922173,1922.038086,1469.023315
46,0,-87.474762,1783.542480,1466.179077,-89.665283,1845.793091,1467.697021,-91.938927,1922.041870,1469.046143
47,0,-87.247292,1783.493530,1466.236206,-89.596382,1845.772217,1467.676636,-91.898849,1922.028687,1469.001465
48,0,-87.474762,1783.542480,1466.179077,-89.566917,1845.773071,1467.765991,-91.954773,1922.045898,1469.041016
49,0,-87.473984,1783.541626,1466.179199,-89.665726,1845.794922,1467.667603,-91.955688,1922.046143,1469.039429
50,0,-87.473808,1783.541870,1466.179321,-89.575493,1845.776367,1467.731812,-91.933624,1922.041260,1469.020020
51,0,-87.506073,1783.547607,1466.163208,-89.594994,1845.773926,1467.709839,-91.924934,1922.038940,1469.023438
52,0,-87.521881,1783.551514,1466.159424,-89.629143,1845.787842,1467.697998,-91.914612,1922.036255,1469.027222
53,0,-87.536842,1783.554810,1466.156006,-89.673309,1845.797485,1467.671265,-91.942627,1922.043945,1469.011841
54,0,-87.550804,1783.557373,1466.152710,-89.605179,1845.783691,1467.721069,-91.923698,1922.039429,1469.023926
55,0,-87.565750,1783.560669,1466.149170,-89.612663,1845.785767,1467.719971,-91.972488,1922.050781,1469.028564
56,0,-87.288162,1783.500977,1466.217407,-89.529007,1845.758667,1467.718018,-91.903816,1922.030151,1469.000366
57,0,-87.506989,1783.548218,1466.163086,-89.624367,1845.788818,1467.716675,-91.965187,1922.055664,1469.012207
58,0,-87.247269,1783.493042,1466.235840,-89.650589,1845.785522,1467.615967,-91.909798,1922.038574,1468.973633
59,0,-87.219505,1783.487305,1466.215576,-89.608269,1845.774902,1467.635010,-91.909950,1922.038696,1468.974854
60,0,-87.452339,1783.537109,1466.158447,-89.554832,1845.770752,1467.740845,-91.933716,1922.041870,1469.023926
61,0,-87.475426,1783.541382,1466.178833,-89.555061,1845.770752,1467.740479,-91.932259,1922.040894,1469.022583
62,0,-87.247246,1783.492554,1466.235474,-89.595238,1845.771973,1467.642456,-91.890305,1922.027466,1468.979126
63,0,-87.247276,1783.493286,1466.236084,-89.600075,1845.773071,1467.639648,-91.885941,1922.025269,1469.006836
64,0,-87.474937,1783.542114,1466.178955,-89.547997,1845.769287,1467.744263,-91.941505,1922.042480,1469.047363
65,0,-87.474937,1783.542114,1466.178955,-89.638870,1845.788330,1467.684448,-91.930817,1922.039795,1469.052124
66,0,-87.474937,1783.542114,1466.178955,-89.550072,1845.769775,1467.744751,-91.935913,1922.041748,1469.018311
67,0,-87.451378,1783.536499,1466.158569,-89.551048,1845.769897,1467.743164,-91.922279,1922.038330,1469.025513
68,0,-87.490524,1783.543335,1466.174927,-89.583588,1845.778198,1467.729492,-91.921143,1922.038696,1469.026001
69,0,-87.513962,1783.549194,1466.135498,-89.647346,1845.792114,1467.689209,-91.936127,1922.040894,1469.047119
70,0,-87.551834,1783.557861,1466.152588,-89.664032,1845.796143,1467.681641,-91.939468,1922.042603,1469.045288
71,0,-87.565552,1783.561035,1466.149292,-89.626770,1845.788696,1467.744751,-91.962242,1922.047974,1469.031006
72,0,-87.559204,1783.559937,1466.125366,-89.689400,1845.801758,1467.667358,-91.961220,1922.047607,1469.031860
73,0,-87.595306,1783.567383,1466.142578,-89.624565,1845.789185,1467.719971,-91.959129,1922.047119,1469.031738
74,0,-87.589470,1783.566650,1466.118530,-89.658737,1845.796753,1467.699219,-91.933640,1922.041382,1469.014893
75,0,-87.605148,1783.568970,1466.115234,-89.644043,1845.794189,1467.714111,-91.949837,1922.045044,1469.037842
76,0,-87.260345,1783.494019,1466.195923,-89.624504,1845.779175,1467.628418,-91.859909,1922.020142,1468.988403
77,0,-87.506401,1783.546997,1466.163086,-89.575974,1845.776245,1467.730835,-91.934456,1922.040405,1469.047241
78,0,-87.247276,1783.493286,1466.236084,-89.465118,1845.743530,1467.714478,-91.897232,1922.028198,1469.000488
79,0,-87.247292,1783.493530,1466.236206,-89.465118,1845.743530,1467.714478,-91.914520,1922.032104,1468.993042
80,0,-87.247276,1783.493286,1466.236084,-89.465118,1845.743530,1467.714478,-91.896805,1922.028198,1469.004639
81,0,-87.178574,1783.478516,1466.233643,-89.558800,1845.764160,1467.662842,-91.889931,1922.026611,1469.007202
82,0,-87.206276,1783.483154,1466.253052,-89.465118,1845.743530,1467.714478,-91.895355,1922.028320,1469.006592
83,0,-87.415886,1783.527832,1466.175293,-89.584465,1845.776855,1467.720581,-91.920059,1922.037964,1469.029907
84,0,-87.219490,1783.487061,1466.215332,-89.607758,1845.774780,1467.635254,-91.887474,1922.025879,1469.009155
85,0,-87.247246,1783.492554,1466.235474,-89.490768,1845.749146,1467.734985,-91.923096,1922.035156,1468.991821
86,0,-87.247231,1783.492310,1466.235229,-89.465118,1845.743530,1467.714478,-91.926651,1922.035767,1468.987793
87,0,-87.288162,1783.500977,1466.217407,-89.529007,1845.758667,1467.718018,-91.936195,1922.038452,1468.984375
88,0,-87.288147,1783.500732,1466.217163,-89.584221,1845.770874,1467.653076,-91.966164,1922.046997,1468.971558
89,0,-87.288147,1783.500732,1466.217163,-89.658058,1845.787109,1467.611694,-91.958420,1922.044922,1468.973877
90,0,-87.260368,1783.494629,1466.196411,-89.541641,1845.761719,1467.679810,-91.947632,1922.041870,1468.975464
91,0,-87.260361,1783.494385,1466.196045,-89.606689,1845.776245,1467.644043,-91.926819,1922.037354,1468.955200
92,0,-87.484886,1783.542114,1466.142090,-89.576637,1845.776489,1467.730225,-91.980461,1922.053833,1468.997314
