file,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z
Mic_1,1051.769897,-4488.114746,1544.876221,1053.317749,-4550.371094,1550.378784,1054.040283,-4626.411621,1558.048218
Mic_2,1020.384644,-4536.486816,883.237305,1014.280457,-4598.490234,879.917053,1006.13855,-4674.407715,877.105591
Mic_3,-174.360825,-4479.973145,1482.900391,-180.278625,-4541.94043,1482.045654,-187.976425,-4618.230957,1481.313599
Mic_5,-1493.585938,-4477.594238,1550.679321,-1493.534424,-4539.798828,1552.056396,-1493.120361,-4616.580566,1553.706543
Mic_6,-1516.353271,-4505.109375,1144.266235,-1517.926392,-4566.833984,1143.500244,-1518.867554,-4643.900879,1140.635132
Mic_7,-2734.42749,-4442.537109,1680.265747,-2732.56543,-4505.299805,1677.00061,-2729.112061,-4581.696777,1672.248047
Mic_9,-3564.390869,-3585.318359,1767.483765,-3628.344238,-3584.835938,1767.876587,-3705.054932,-3578.345459,1769.19397
Mic_11,-3547.154297,-2336.925537,1803.002075,-3609.419434,-2335.949463,1800.123657,-3685.885498,-2333.978516,1798.113892
Mic_13,-3511.03418,-1105.04248,1985.986816,-3573.056641,-1102.474365,1994.495728,-3648.870605,-1097.322266,2005.588013
Mic_15,-3484.770752,949.832886,1898.989014,-3546.017822,954.67688,1910.908081,-3620.281494,960.265747,1927.222656
Mic_17,-2647.925537,1801.81665,1735.648438,-2643.776123,1862.809448,1723.10791,-2637.190186,1937.599121,1708.031006
Mic_19,-1385.837402,1799.800781,1552.932129,-1387.965576,1862.060669,1556.948486,-1387.853638,1937.785156,1561.901489
Mic_21,-87.5812,1783.561768,1466.129517,-89.640305,1845.776123,1467.714966,-91.964928,1922.05188,1469.036987
Mic_23,1159.035767,1751.593994,1393.634277,1155.606445,1813.62793,1387.736206,1151.019409,1889.651855,1380.86499
Mic_25,1998.595947,902.71991,1329.101562,2061.603271,900.885742,1327.920166,2137.854736,897.967957,1325.396484
Mic_27,1979.157593,-1180.661377,1356.378906,2038.684326,-1179.533081,1359.319336,2114.100098,-1176.305176,1361.81311
Mic_29,1948.736816,-2393.326904,1297.306519,2010.213867,-2398.073242,1287.486816,2085.259033,-2404.168457,1276.647705
Mic_31,1938.523438,-3651.76123,1300.88562,2000.745483,-3653.652832,1303.381226,2077.171387,-3654.495605,1306.25061
