Trajectories
100
,,maze:take_off,,,maze:enter_right,,,maze:enter_left,,,maze:enter_far-left,,,maze:enter_far-right,,,maze:y-join_left,,,maze:y-join_right,,,maze:exit_left,,,maze:exit_right,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-1011.937256,1562.070923,-19.368828,-1435.337524,-131.914154,13.173120,-364.485504,-141.853745,7.637672,1791.241089,-171.725372,13.862225,-3909.468262,-89.520508,1.979319,-394.537018,-1921.178223,41.305801,-1417.838257,-1906.458130,43.369423,388.241760,-3223.020020,62.469006,-2219.966553,-3222.713623,56.590767
2,0,-1011.909973,1562.077637,-19.265961,-1435.347778,-131.952820,13.137747,-364.457916,-141.851288,7.612618,1791.160645,-171.733688,13.903001,-3908.784180,-89.889664,2.594348,-394.548523,-1921.185791,41.310741,-1417.807617,-1906.463135,43.377689,388.240265,-3223.022705,62.464344,-2219.954102,-3222.718994,56.608353
3,0,-1011.935364,1562.074097,-19.194948,-1435.327515,-131.941193,13.150269,-364.585083,-141.840866,7.430646,1791.164307,-171.756027,13.943157,-3909.481689,-89.510651,1.947739,-394.558777,-1921.234009,41.284130,-1417.811157,-1906.431519,43.400707,388.244446,-3222.999512,62.508507,-2219.958496,-3222.718506,56.620796
4,0,-1011.935364,1562.074097,-19.194948,-1435.356323,-131.919342,13.125937,-364.424591,-141.874191,7.646135,1791.172974,-171.740372,13.977489,-3909.481689,-89.535477,1.960032,-394.538971,-1921.248901,41.259926,-1417.823730,-1906.426514,43.396965,388.262817,-3223.025391,62.521217,-2219.963623,-3222.715820,56.583057
5,0,-1011.908081,1562.079834,-19.113049,-1435.328735,-131.949448,13.156163,-364.441406,-141.884720,7.625822,1791.326782,-171.734344,13.966073,-3909.309082,-89.519264,2.058975,-394.553467,-1921.254028,41.253403,-1417.829590,-1906.434937,43.392624,388.256744,-3223.023926,62.496735,-2219.933594,-3222.698486,56.621666
6,0,-1011.935852,1562.072632,-19.125679,-1435.355713,-131.951431,13.140041,-364.441650,-141.880356,7.623774,1791.431763,-171.732620,13.918210,-3908.924561,-89.864227,2.559054,-394.556030,-1921.204956,41.278809,-1417.837402,-1906.451782,43.394962,388.252563,-3223.020508,62.507511,-2219.936523,-3222.665527,56.612801
7,0,-1011.936646,1562.070923,-19.132881,-1435.406860,-131.997345,13.101072,-364.439087,-141.895706,7.629692,1791.448975,-171.712296,13.945590,-3909.507080,-89.552811,2.028667,-394.544556,-1921.221191,41.307301,-1417.839111,-1906.450195,43.396099,388.232910,-3223.031738,62.476448,-2219.934326,-3222.691895,56.611153
8,0,-1011.901733,1562.263184,-19.100424,-1435.369873,-131.994629,13.129457,-364.457458,-141.893219,7.631970,1791.361450,-171.711823,14.011930,-3909.419922,-89.590858,2.091846,-394.551910,-1921.196899,41.280506,-1417.844238,-1906.460815,43.385750,388.224884,-3223.031738,62.476025,-2219.893799,-3222.625244,56.637844
9,0,-1011.931274,1562.249634,-19.050224,-1435.437012,-131.962326,13.084925,-364.856659,-141.781418,7.660544,1791.463745,-171.731171,13.925528,-3909.255371,-89.559502,2.219076,-394.573242,-1921.214844,41.318283,-1417.851196,-1906.414429,43.393497,388.213745,-3223.041260,62.463425,-2219.907471,-3222.609375,56.643242
10,0,-1011.896240,1562.445557,-19.188545,-1435.426758,-131.994476,13.106436,-364.482941,-141.925797,7.602568,1791.455078,-171.732025,13.918304,-3909.527100,-89.512947,2.080512,-394.572388,-1921.242920,41.301006,-1417.841675,-1906.435059,43.390533,388.202881,-3223.046875,62.447968,-2219.853760,-3222.577881,56.681099
11,0,-1011.894348,1562.445068,-18.895208,-1435.389282,-131.982361,13.118587,-364.648560,-141.934280,7.478533,1791.411255,-171.748306,13.879475,-3909.358154,-89.515480,2.179904,-394.576477,-1921.241089,41.306137,-1417.836426,-1906.432495,43.406258,388.194672,-3223.044678,62.451675,-2219.847412,-3222.511963,56.684570
12,0,-1011.894104,1562.444580,-18.844265,-1435.392944,-131.990387,13.116257,-364.536469,-141.957184,7.593913,1791.381348,-171.747330,13.837281,-3909.260254,-89.490318,2.249486,-394.581757,-1921.235596,41.297558,-1417.842896,-1906.430298,43.398720,388.183014,-3223.043457,62.439850,-2219.876221,-3222.513184,56.696880
